CONDICIONADOR GOLD NIELY EXTRA BRILHO 200ML FR;R$ 6,41 
CONDICIONADOR MONANGE SEM SAL 350ML FR;R$ 5,36 
CONDICIONADOR OX PLANTS TODOS TIPOS DE CABELO 240ML FR;R$ 12,28 
CONDICIONADOR PALMOLIVE NATURALS NEUTRO 350ML FR;R$ 6,62 
CONDICIONADOR PANTENE CUIDADO CLÁSSICO 200ML FR;R$ 11,06 
CONDICIONADOR SEDA KERAFORCE 350ML FR;R$ 6,67 
ESCONDIDINHO DE CARNE MOÍDA SADIA 600G CX;R$ 11,40 
FILÉ DE FRANGO PARMEGIANA SADIA 550G CX;R$ 11,40 
LASANHA PIF PAF A BOLONHESA 650G CX;R$ 6,48 
LASANHA SADIA SABORES 650G PT;R$ 10,21 
MEU MENU PERDIGÃO 350G;R$ 5,53 
NHOQUE À BOLONHESA PERDIGÃO 500G CX;R$ 5,99 
NHOQUE À BOLONHESA SADIA 650G PT;R$ 9,98 
PIZZA APRECIATTA PERDIGÃO SABORES 440G CX;R$ 8,99 
PIZZA DE PRESUNTO, MUSSARELA E CHAMPIGNON SADIA 460G CX;R$ 9,65 
PIZZA PIF PAF SABORES 460G CX;R$ 6,82 
PIZZA SADIA SABORES 440G CX;R$ 9,52 
RECHEADO NAPOLITANO PERDIGÃO 500G CX;R$ 14,30 
STROGONOFF DE CARNE SADIA 600G CX;R$ 11,30 
STROGONOFF DE FRANGO SADIA 600G CX;R$ 11,30 
TORTA DE FRANGO COM CATUPIRY SADIA 700G CX;R$ 11,85 
YAKISSOBA SADIA 600G CX;R$ 11,60 
SORVETE CHICABON KIBON 2L PO;R$ 18,37 
SORVETE KIBON SABORES 2L PO;R$ 16,87 
SORVETE NESTLÉ SABORES 2L PO;R$ 16,24 
BATATA PALITO PERDIGÃO 500G PT;R$ 4,01 
CHICKEN FILLET PERDIGÃO 580G CX;R$ 3,48 
KIBE PERDIGÃO 500G CX;R$ 13,19 
KIBE SADIA 500G PT;R$ 11,46 
NUGGETS DE FRANGO SADIA 300G CX;R$ 6,45 
ALMONDEGA BOVINA SADIA 500G CX;R$ 11,48 
ALMONDEGA DE FRANGO SADIA 500G CX;R$ 11,48 
ASA DE FRANGO SADIA CONGELADA 1KG PT;R$ 10,77 
CORAÇÃO DE FRANGO CONGELADO PERDIGÃO 1KG BD;R$ 12,19 
COXA DE FRANGO CONGELADA SADIA 1KG BD;R$ 9,27 
COXA DE FRANGO RESFRIADA SADIA 1KG PT;R$ 8,82 
COXA SOBRE COXA DE FRANGO CONGELADA SADIA 1KG PT;R$ 10,19 
FILÉ DE PEITO DE FRANGO CONGELADO SADIA 1KG PT;R$ 13,14 
FRANGO À PASSARINHO S/ TEMPERO SADIA 1KG PT;R$ 9,74 
FRANGO RESFRIADO - KG;R$ 5,61 
